,Date,Time,Cumulative.hrs,Timepoint,Treatment,Boat,Parentage,Well,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook
37,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellA,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellB,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellC,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellD,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellE,85,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,5.12.18,9:40,9,1,35.5C,57,BK x SB,wellF,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellA,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellB,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellC,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellD,85,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellE,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,5.12.18,9:40,9,1,35.5C,79,BK x CU,wellF,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellA,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellB,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellC,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellD,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellE,90,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,5.12.18,9:40,9,1,35.5C,82,BK x SB,wellF,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellA,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellB,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellC,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellD,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellE,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,5.12.18,9:40,9,1,35.5C,89,DR X SB ,wellF,NA,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellA,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellB,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellC,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellD,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellE,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,5.12.18,9:40,9,1,35.5C,98,BK x SB,wellF,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellA,100,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellB,100,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellC,95,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellD,100,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellE,100,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,5.12.18,9:40,9,1,35.5C,100,DR x DR,wellF,100,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellA,95,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellB,95,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellC,100,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellD,100,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellE,95,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,5.12.18,9:40,9,1,35.5C,102,SB x CU,wellF,100,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellA,100,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellB,95,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellC,95,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellD,100,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellE,95,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,5.12.18,9:40,9,1,35.5C,103,SB x BK,wellF,100,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellA,90,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellB,95,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellC,100,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellD,NA,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellE,100,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,5.12.18,9:40,9,1,35.5C,104,SB x LS,wellF,95,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellA,100,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellB,100,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellC,100,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellD,95,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellE,100,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,5.12.18,9:40,9,1,35.5C,105,SB x SB,wellF,100,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellA,85,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellB,95,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellC,90,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellD,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellE,90,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,5.12.18,9:40,9,1,35.5C,108,LS x CU,wellF,85,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellA,100,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellB,100,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellC,95,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellD,100,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellE,100,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,5.12.18,9:40,9,1,35.5C,113,LS x DR,wellF,95,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellA,95,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellB,100,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellC,80,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellD,85,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
