,Order,POSITION,SINGLE.CLUMP,Date,Timepoint,Treatment,Zoox,Tank,Replicate,Plate,Well,Mom,Dad,Family,Genetic,Recruit,Survival.T1,Condition
41,93,centre flat,s,30/12/2019,T1,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.3,2,1
42,7405,centre flat,s,25/02/2019,T8,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.3,2,1
43,94,centre flat,s,30/12/2019,T1,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.4,2,1
44,7406,centre flat,s,25/02/2019,T8,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.4,1,0
45,95,EDGE FLAT ,s,30/12/2019,T1,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.5,2,1
46,96,EDGE FLAT ,s,30/12/2019,T1,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.6,2,1
47,7408,EDGE FLAT ,s,25/02/2019,T8,26,C1,1,1,22,1,SB,SB,SBxSB,PureAmbo,1.22.1.6,2,1
48,85,centre flat,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.1,2,1
49,7397,centre flat,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.1,2,1
50,86,centre flat,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.2,2,1
51,7398,centre flat,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.2,1,0
52,87,EDGE FLAT,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.3,2,1
53,7399,EDGE FLAT,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.3,2,1
54,88,EDGE FLAT,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.4,2,1
55,7400,EDGE FLAT,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.4,2,1
56,89,EDGE FLAT,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.5,2,1
57,7401,EDGE FLAT,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.5,2,1
58,90,EDGE FLAT,s,30/12/2019,T1,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.6,2,1
59,7402,EDGE FLAT,s,25/02/2019,T8,26,C1,1,1,22,2,SB,SB,SBxSB,PureAmbo,1.22.2.6,2,1
60,81,centre flat,s,30/12/2019,T1,26,C1,1,1,22,3,SB,SB,SBxSB,PureAmbo,1.22.3.1,2,1
61,7393,centre flat,s,25/02/2019,T8,26,C1,1,1,22,3,SB,SB,SBxSB,PureAmbo,1.22.3.1,1,0
62,82,centre flat,s,30/12/2019,T1,26,C1,1,1,22,3,SB,SB,SBxSB,PureAmbo,1.22.3.2,2,1
63,7394,centre flat,s,25/02/2019,T8,26,C1,1,1,22,3,SB,SB,SBxSB,PureAmbo,1.22.3.2,1,0
64,76,centre flat,s,30/12/2019,T1,26,C1,1,1,22,4,CU,BK,CUxBK,CrossAmbo,1.22.4.1,2,1
65,7388,centre flat,s,25/02/2019,T8,26,C1,1,1,22,4,CU,BK,CUxBK,CrossAmbo,1.22.4.1,2,1
66,71,centre flat,s,30/12/2019,T1,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.1,2,1
67,7383,centre flat,s,25/02/2019,T8,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.1,1,0
68,72,centre flat,s,30/12/2019,T1,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.2,2,1
69,7384,centre flat,s,25/02/2019,T8,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.2,2,1
70,73,centre flat,s,30/12/2019,T1,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.3,2,1
71,7385,centre flat,s,25/02/2019,T8,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.3,2,1
72,74,centre flat,s,30/12/2019,T1,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.4,2,1
73,7386,centre flat,s,25/02/2019,T8,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.4,2,1
74,75,centre flat,s,30/12/2019,T1,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.5,2,1
75,7387,centre flat,s,25/02/2019,T8,26,C1,1,1,22,5,CU,BK,CUxBK,CrossAmbo,1.22.5.5,2,1
76,65,centre flat,s,30/12/2019,T1,26,C1,1,1,22,6,CU,BK,CUxBK,CrossAmbo,1.22.6.1,2,1
77,7377,centre flat,s,25/02/2019,T8,26,C1,1,1,22,6,CU,BK,CUxBK,CrossAmbo,1.22.6.1,2,1
78,66,centre flat,s,30/12/2019,T1,26,C1,1,1,22,6,CU,BK,CUxBK,CrossAmbo,1.22.6.2,2,1
79,7378,centre flat,s,25/02/2019,T8,26,C1,1,1,22,6,CU,BK,CUxBK,CrossAmbo,1.22.6.2,2,2
80,102,centre flat,s,30/12/2019,T1,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.1,2,1
81,7414,centre flat,s,25/02/2019,T8,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.1,2,1
82,103,centre flat,s,30/12/2019,T1,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.2,2,1
83,7415,centre flat,s,25/02/2019,T8,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.2,2,1
84,105,centre flat,s,30/12/2019,T1,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.4,2,1
85,7417,centre flat,s,25/02/2019,T8,26,C1,1,1,23,1,DR,DR,DRxDR,PureAmbo,1.23.1.4,2,1
86,106,centre flat,s,30/12/2019,T1,26,C1,1,1,23,2,DR,DR,DRxDR,PureAmbo,1.23.2.1,2,1
87,7418,centre flat,s,25/02/2019,T8,26,C1,1,1,23,2,DR,DR,DRxDR,PureAmbo,1.23.2.1,2,1
88,111,centre flat,s,30/12/2019,T1,26,C1,1,1,23,4,BK,DR,BKxDR,CrossAmbo,1.23.4.2,2,2
89,7423,centre flat,s,25/02/2019,T8,26,C1,1,1,23,4,BK,DR,BKxDR,CrossAmbo,1.23.4.2,2,1
90,112,centre flat,s,30/12/2019,T1,26,C1,1,1,23,5,BK,DR,BKxDR,CrossAmbo,1.23.5.1,2,2
91,7424,centre flat,s,25/02/2019,T8,26,C1,1,1,23,5,BK,DR,BKxDR,CrossAmbo,1.23.5.1,1,0
92,113,centre flat,s,30/12/2019,T1,26,C1,1,1,23,5,BK,DR,BKxDR,CrossAmbo,1.23.5.2,2,2
93,7425,centre flat,s,25/02/2019,T8,26,C1,1,1,23,5,BK,DR,BKxDR,CrossAmbo,1.23.5.2,2,1
94,114,centre flat,s,30/12/2019,T1,26,C1,1,1,23,6,BK,DR,BKxDR,CrossAmbo,1.23.6.1,2,2
95,7426,centre flat,s,25/02/2019,T8,26,C1,1,1,23,6,BK,DR,BKxDR,CrossAmbo,1.23.6.1,2,1
96,115,centre flat,s,30/12/2019,T1,26,C1,1,1,23,6,BK,DR,BKxDR,CrossAmbo,1.23.6.2,2,2
97,7427,centre flat,s,25/02/2019,T8,26,C1,1,1,23,6,BK,DR,BKxDR,CrossAmbo,1.23.6.2,2,1
98,116,centre flat,s,30/12/2019,T1,26,C1,1,1,27,1,DR,DR,DRxDR,PureAmbo,1.27.1.1,2,1
99,7428,centre flat,s,25/02/2019,T8,26,C1,1,1,27,1,DR,DR,DRxDR,PureAmbo,1.27.1.1,1,0
100,117,centre flat,s,30/12/2019,T1,26,C1,1,1,27,1,DR,DR,DRxDR,PureAmbo,1.27.1.2,2,1
101,7429,centre flat,s,25/02/2019,T8,26,C1,1,1,27,1,DR,DR,DRxDR,PureAmbo,1.27.1.2,2,1
102,120,centre flat,s,30/12/2019,T1,26,C1,1,1,27,2,DR,DR,DRxDR,PureAmbo,1.27.2.1,2,1
103,7432,centre flat,s,25/02/2019,T8,26,C1,1,1,27,2,DR,DR,DRxDR,PureAmbo,1.27.2.1,2,1
104,122,centre flat,s,30/12/2019,T1,26,C1,1,1,27,3,DR,DR,DRxDR,PureAmbo,1.27.3.1,2,1
105,7434,centre flat,s,25/02/2019,T8,26,C1,1,1,27,3,DR,DR,DRxDR,PureAmbo,1.27.3.1,2,1
106,123,centre flat,s,30/12/2019,T1,26,C1,1,1,27,4,BK,DR,BKxDR,CrossAmbo,1.27.4.1,2,2
107,7435,centre flat,s,25/02/2019,T8,26,C1,1,1,27,4,BK,DR,BKxDR,CrossAmbo,1.27.4.1,2,1
108,124,centre flat,s,30/12/2019,T1,26,C1,1,1,27,4,BK,DR,BKxDR,CrossAmbo,1.27.4.2,2,2
109,7436,centre flat,s,25/02/2019,T8,26,C1,1,1,27,4,BK,DR,BKxDR,CrossAmbo,1.27.4.2,1,0
110,59,centre flat,s,30/12/2019,T1,26,C1,1,1,28,2,CU,SB,CUxSB,CrossAmbo,1.28.2.1,2,1
111,7371,centre flat,s,25/02/2019,T8,26,C1,1,1,28,2,CU,SB,CUxSB,CrossAmbo,1.28.2.1,2,1
112,60,Edge ,s,30/12/2019,T1,26,C1,1,1,28,2,CU,SB,CUxSB,CrossAmbo,1.28.2.2,2,1
113,7372,Edge ,s,25/02/2019,T8,26,C1,1,1,28,2,CU,SB,CUxSB,CrossAmbo,1.28.2.2,2,1
114,61,centre flat,s,30/12/2019,T1,26,C1,1,1,28,5,SB,BK,SBxBK,CrossAmbo,1.28.5.1,2,1
115,7373,centre flat,s,25/02/2019,T8,26,C1,1,1,28,5,SB,BK,SBxBK,CrossAmbo,1.28.5.1,1,0
116,62,Edge flat,s,30/12/2019,T1,26,C1,1,1,28,5,SB,BK,SBxBK,CrossAmbo,1.28.5.2,2,1
117,7374,Edge flat,s,25/02/2019,T8,26,C1,1,1,28,5,SB,BK,SBxBK,CrossAmbo,1.28.5.2,2,1
118,63,centre flat,s,30/12/2019,T1,26,C1,1,1,28,6,SB,BK,SBxBK,CrossAmbo,1.28.6.1,2,1
119,7375,centre flat,s,25/02/2019,T8,26,C1,1,1,28,6,SB,BK,SBxBK,CrossAmbo,1.28.6.1,2,1
120,64,edge flat ,s,30/12/2019,T1,26,C1,1,1,28,6,SB,BK,SBxBK,CrossAmbo,1.28.6.2,2,1
121,7376,edge flat ,s,25/02/2019,T8,26,C1,1,1,28,6,SB,BK,SBxBK,CrossAmbo,1.28.6.2,2,1
122,125,centre flat,s,30/12/2019,T1,26,C1,1,1,29,1,BK,CU,BKxCU,CrossAmbo,1.29.1.1,2,1
123,7437,centre flat,s,25/02/2019,T8,26,C1,1,1,29,1,BK,CU,BKxCU,CrossAmbo,1.29.1.1,2,2
124,126,centre flat,s,30/12/2019,T1,26,C1,1,1,29,4,LS,BK,LSxBK,CrossAmbo,1.29.4.1,2,1
125,7438,centre flat,s,25/02/2019,T8,26,C1,1,1,29,4,LS,BK,LSxBK,CrossAmbo,1.29.4.1,2,1
126,129,Edge flat,s,30/12/2019,T1,26,C1,1,1,29,4,LS,BK,LSxBK,CrossAmbo,1.29.4.4,2,1
127,7441,Edge flat,s,25/02/2019,T8,26,C1,1,1,29,4,LS,BK,LSxBK,CrossAmbo,1.29.4.4,2,1
128,130,centre flat,s,30/12/2019,T1,26,C1,1,1,29,5,LS,BK,LSxBK,CrossAmbo,1.29.5.1,2,1
129,7442,centre flat,s,25/02/2019,T8,26,C1,1,1,29,5,LS,BK,LSxBK,CrossAmbo,1.29.5.1,2,1
130,131,centre flat,s,30/12/2019,T1,26,C1,1,1,29,5,LS,BK,LSxBK,CrossAmbo,1.29.5.2,2,1
131,7443,centre flat,s,25/02/2019,T8,26,C1,1,1,29,5,LS,BK,LSxBK,CrossAmbo,1.29.5.2,2,1
132,134,centre flat,s,30/12/2019,T1,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.1,2,1
133,7446,centre flat,s,25/02/2019,T8,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.1,2,1
134,135,centre flat,s,30/12/2019,T1,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.2,2,1
135,7447,centre flat,s,25/02/2019,T8,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.2,1,0
136,142,centre flat,s,30/12/2019,T1,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.9,2,1
137,7454,centre flat,s,25/02/2019,T8,26,C1,1,1,29,6,LS,BK,LSxBK,CrossAmbo,1.29.6.9,1,0
138,17,centre flat,s,30/12/2019,T1,26,C1,1,1,3,2,CU,DR,CUxDR,CrossAmbo,1.3.2.1,2,1
139,7329,centre flat,s,25/02/2019,T8,26,C1,1,1,3,2,CU,DR,CUxDR,CrossAmbo,1.3.2.1,2,1
140,18,centre flat,s,30/12/2019,T1,26,C1,1,1,3,2,CU,DR,CUxDR,CrossAmbo,1.3.2.2,2,1
141,7330,centre flat,s,25/02/2019,T8,26,C1,1,1,3,2,CU,DR,CUxDR,CrossAmbo,1.3.2.2,2,1
142,21,centre flat,s,30/12/2019,T1,26,C1,1,1,3,3,CU,DR,CUxDR,CrossAmbo,1.3.3.1,2,1
143,7333,centre flat,s,25/02/2019,T8,26,C1,1,1,3,3,CU,DR,CUxDR,CrossAmbo,1.3.3.1,1,0
144,22,centre flat,s,30/12/2019,T1,26,C1,1,1,3,3,CU,DR,CUxDR,CrossAmbo,1.3.3.2,2,1
145,7334,centre flat,s,25/02/2019,T8,26,C1,1,1,3,3,CU,DR,CUxDR,CrossAmbo,1.3.3.2,2,1
146,148,centre flat,s,30/12/2019,T1,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.1,2,1
147,7460,centre flat,s,25/02/2019,T8,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.1,1,0
148,149,centre flat,s,30/12/2019,T1,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.2,2,1
149,7461,centre flat,s,25/02/2019,T8,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.2,2,1
150,150,centre flat,s,30/12/2019,T1,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.3,2,1
151,7462,centre flat,s,25/02/2019,T8,26,C1,1,1,31,1,CU,LS,CUxLS,CrossAmbo,1.31.1.3,2,1
152,153,centre flat,s,30/12/2019,T1,26,C1,1,1,31,3,CU,LS,CUxLS,CrossAmbo,1.31.3.1,2,1
153,7465,centre flat,s,25/02/2019,T8,26,C1,1,1,31,3,CU,LS,CUxLS,CrossAmbo,1.31.3.1,2,1
154,154,centre flat,s,30/12/2019,T1,26,C1,1,1,31,3,CU,LS,CUxLS,CrossAmbo,1.31.3.2,2,1
155,255,centre flat,s,30/12/2019,T1,26,C1,2,2,1,3,LS,BK,LSxBK,CrossAmbo,2.1.3.1,2,2
156,7962,centre flat,s,25/02/2019,T8,26,C1,2,2,1,3,LS,BK,LSxBK,CrossAmbo,2.1.3.1,2,1
157,256,centre flat,s,30/12/2019,T1,26,C1,2,2,1,3,LS,BK,LSxBK,CrossAmbo,2.1.3.2,2,2
158,7963,centre flat,s,25/02/2019,T8,26,C1,2,2,1,3,LS,BK,LSxBK,CrossAmbo,2.1.3.2,1,0
159,260,edge flat,s,30/12/2019,T1,26,C1,2,2,1,5,BK,CU,BKxCU,CrossAmbo,2.1.5.1,2,1
160,7967,edge flat,s,25/02/2019,T8,26,C1,2,2,1,5,BK,CU,BKxCU,CrossAmbo,2.1.5.1,2,1
161,330,centre flat,s,30/12/2019,T1,26,C1,2,2,11,1,DR,BK,DRxBK,CrossAmbo,2.11.1.1,2,1
162,8038,centre flat,s,25/02/2019,T8,26,C1,2,2,11,1,DR,BK,DRxBK,CrossAmbo,2.11.1.1,2,1
163,331,centre flat,s,30/12/2019,T1,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.1,2,1
164,8039,centre flat,s,25/02/2019,T8,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.1,2,1
165,332,centre flat,s,30/12/2019,T1,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.2,2,1
166,8040,centre flat,s,25/02/2019,T8,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.2,2,1
167,333,centre flat,s,30/12/2019,T1,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.3,2,1
168,8041,centre flat,s,25/02/2019,T8,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.3,2,1
169,334,centre flat,s,30/12/2019,T1,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.4,2,1
170,8042,centre flat,s,25/02/2019,T8,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.4,2,1
171,335,centre flat,s,30/12/2019,T1,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.5,2,1
172,8043,centre flat,s,25/02/2019,T8,26,C1,2,2,11,2,DR,BK,DRxBK,CrossAmbo,2.11.2.5,2,1
173,344,centre flat,s,30/12/2019,T1,26,C1,2,2,11,4,DR,SB,DRxSB,CrossAmbo,2.11.4.1,2,1
