order,Date,Time,Cumulative.hrs,Timepoint,Treatment,Treatment,Boat,Parentage,Well,Alive,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook,lifestage,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low,Zoox,Tank,TotalMom,TotalDad
134,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellB,7,35,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
135,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellC,8,40,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
136,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellD,8,40,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
137,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellE,9,45,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
138,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellF,3,15,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
139,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellA,14,70,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
140,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellB,13,65,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
141,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellC,14,70,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
142,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellD,11,55,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
143,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellE,14,70,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
144,7.12.18,8:30,56,4,35.5C,Hot,153,LSxBK,wellF,13,65,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
145,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellA,15,75,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
146,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellB,12,60,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
147,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellC,16,80,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
148,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellD,16,80,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
149,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellE,14,70,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
150,7.12.18,8:30,56,4,35.5C,Hot,156,CUxLS,wellF,18,90,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
151,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellA,19,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
152,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellB,14,70,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
153,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellC,14,70,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
154,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellD,17,85,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
155,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellE,15,75,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
156,7.12.18,8:30,56,4,35.5C,Hot,162,CUxBK,wellF,20,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
157,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellA,16,80,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
158,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellB,10,50,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
159,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellC,15,75,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
160,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellD,21,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
161,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellE,16,80,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
162,7.12.18,8:30,56,4,35.5C,Hot,163,CUxBK,wellF,19,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
163,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellA,18,90,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
164,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellB,15,75,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
165,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellC,15,75,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
166,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellD,13,65,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
167,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellE,14,70,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
168,7.12.18,8:30,56,4,35.5C,Hot,164,CUxDR,wellF,12,60,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
169,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellA,11,55,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
170,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellB,15,75,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
171,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellC,12,60,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
172,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellD,15,75,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
173,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellE,10,50,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
174,7.12.18,8:30,56,4,35.5C,Hot,165,DRxCU,wellF,14,70,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
175,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellA,13,65,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
176,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellB,16,80,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
177,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellC,17,85,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
178,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellD,15,75,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
179,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellE,15,75,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
180,7.12.18,8:30,56,4,35.5C,Hot,166,CUxCU,wellF,15,75,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
181,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellA,8,40,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
182,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellB,13,65,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
183,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellC,9,45,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
184,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellD,7,35,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
185,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellE,9,45,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
186,7.12.18,8:30,56,4,35.5C,Hot,171,DRxBK,wellF,15,75,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
187,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellA,19,95,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
188,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellB,13,65,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
189,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellC,12,60,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
190,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellD,13,65,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
191,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellE,12,60,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
192,7.12.18,8:30,56,4,35.5C,Hot,172,DRxBK,wellF,15,75,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
193,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellA,9,45,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
194,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellB,12,60,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
195,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellC,11,55,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
196,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellD,18,90,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
197,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellE,12,60,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
198,7.12.18,8:30,56,4,35.5C,Hot,173,BKxCU,wellF,12,60,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
199,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellA,8,40,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
200,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellB,7,35,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
201,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellC,14,70,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
202,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellD,13,65,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
203,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellE,14,70,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
204,7.12.18,8:30,56,4,35.5C,Hot,174,BKxLS,wellF,14,70,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
205,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellA,18,90,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
206,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellB,12,60,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
207,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellC,13,65,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
208,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellD,13,65,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
209,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellE,17,85,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
210,7.12.18,8:30,56,4,35.5C,Hot,179,SBxDR,wellF,12,60,Sand Bank 7,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
211,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellA,16,80,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
212,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellB,16,80,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
213,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellC,18,90,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
214,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellD,13,65,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
215,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellE,13,65,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
216,7.12.18,8:30,56,4,35.5C,Hot,180,BKxSB,wellF,12,60,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
217,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellA,15,75,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
218,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellB,5,25,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
219,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellC,10,50,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
220,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellD,9,45,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
221,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellE,7,35,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
222,7.12.18,8:30,56,4,35.5C,Hot,183,BKxDR,wellF,15,75,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
223,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellA,11,55,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
224,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellB,16,80,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
225,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellC,8,40,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
226,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellD,10,50,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
227,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellE,8,40,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
228,7.12.18,8:30,56,4,35.5C,Hot,185,CUxDR,wellF,11,55,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
229,7.12.18,8:30,56,4,27C,Ambient,9,BKxDR,wellA,20,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
230,7.12.18,8:30,56,4,27C,Ambient,16,BKxCU,wellA,20,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
231,7.12.18,8:30,56,4,27C,Ambient,32,CUxLS,wellA,20,100,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
232,7.12.18,8:30,56,4,27C,Ambient,43,BKxLS,wellA,21,100,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
233,7.12.18,8:30,56,4,27C,Ambient,46,BKxCU,wellA,20,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
234,7.12.18,8:30,56,4,27C,Ambient,52,DRxBK,wellA,18,90,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
235,7.12.18,8:30,56,4,27C,Ambient,55,BKxLS,wellA,18,90,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
236,7.12.18,8:30,56,4,27C,Ambient,58,BKxSB,wellA,21,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
237,7.12.18,8:30,56,4,27C,Ambient,61,BKxDR,wellA,20,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
238,7.12.18,8:30,56,4,27C,Ambient,66,BKxLS,wellA,17,85,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
239,7.12.18,8:30,56,4,27C,Ambient,72,DRxCU,wellA,20,100,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
240,7.12.18,8:30,56,4,27C,Ambient,75,BKxCU,wellA,19,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
241,7.12.18,8:30,56,4,27C,Ambient,81,BKxCU,wellA,19,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
242,7.12.18,8:30,56,4,27C,Ambient,86,BKxSB,wellA,19,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
243,7.12.18,8:30,56,4,27C,Ambient,99,CUxBK,wellA,17,85,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
244,7.12.18,8:30,56,4,27C,Ambient,106,SBxCU,wellA,20,100,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
245,7.12.18,8:30,56,4,27C,Ambient,109,LSxBK,wellA,19,95,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,4,2
246,7.12.18,8:30,56,4,27C,Ambient,112,LSxDR,wellA,20,100,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
247,7.12.18,8:30,56,4,27C,Ambient,116,SBxLS,wellA,20,100,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
248,7.12.18,8:30,56,4,27C,Ambient,131,BKxBK,wellA,20,100,Backnumbers,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,2
249,7.12.18,8:30,56,4,27C,Ambient,144,CUxBK,wellA,19,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,2
250,7.12.18,8:30,56,4,27C,Ambient,150,LSxSB,wellA,20,100,Long Sandy,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
251,7.12.18,8:30,56,4,27C,Ambient,151,DRxLS,wellA,20,100,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
252,7.12.18,8:30,56,4,27C,Ambient,154,LSxCU,wellA,18,90,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
253,7.12.18,8:30,56,4,27C,Ambient,157,LSxCU,wellA,19,95,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
254,7.12.18,8:30,56,4,27C,Ambient,158,CUxSB,wellA,19,95,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
255,7.12.18,8:30,56,4,27C,Ambient,159,BKxSB,wellA,19,95,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
256,7.12.18,8:30,56,4,27C,Ambient,161,DRxSB,wellA,19,95,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
257,7.12.18,8:30,56,4,27C,Ambient,167,SBxSB,wellA,19,95,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
258,7.12.18,8:30,56,4,27C,Ambient,168,LSxLS,wellA,19,95,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
259,7.12.18,8:30,56,4,27C,Ambient,169,DRxBK,wellA,19,95,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
260,7.12.18,8:30,56,4,27C,Ambient,170,CUxDR,wellA,20,100,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
261,7.12.18,8:30,56,4,27C,Ambient,175,DRxDR,wellA,19,95,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
262,7.12.18,8:30,56,4,27C,Ambient,178,SBxBK,wellA,19,95,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
263,7.12.18,8:30,56,4,27C,Ambient,182,CUxDR,wellA,20,100,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
264,7.12.18,8:30,56,4,27C,Ambient,187,CUxCU,wellA,17,85,Curd,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,6,5
265,7.12.18,8:30,56,4,27C,Ambient,5,BKxSB,wellB,20,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
266,7.12.18,8:30,56,4,27C,Ambient,9,BKxDR,wellB,20,100,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
267,7.12.18,8:30,56,4,27C,Ambient,16,BKxCU,wellB,20,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
268,7.12.18,8:30,56,4,27C,Ambient,32,CUxLS,wellB,19,95,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
269,7.12.18,8:30,56,4,27C,Ambient,43,BKxLS,wellB,21,100,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
270,7.12.18,8:30,56,4,27C,Ambient,46,BKxCU,wellB,20,100,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
271,7.12.18,8:30,56,4,27C,Ambient,52,DRxBK,wellB,20,100,Davies,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
272,7.12.18,8:30,56,4,27C,Ambient,55,BKxLS,wellB,19,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
273,7.12.18,8:30,56,4,27C,Ambient,58,BKxSB,wellB,20,100,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
274,7.12.18,8:30,56,4,27C,Ambient,61,BKxDR,wellB,19,95,Backnumbers,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,3
275,7.12.18,8:30,56,4,27C,Ambient,66,BKxLS,wellB,19,95,Backnumbers,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,4
276,7.12.18,8:30,56,4,27C,Ambient,72,DRxCU,wellB,20,100,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
